"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
3,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.56729335,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","gmm",7,0.583645167703056,0.096517957207191,0.820661352574167,0.17711524,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.360291668,"Hepta-silhouette-seed3"
4,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,74.236199727,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.148894421,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.486719158,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.554301977,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","gmm",9,0.589259941681629,0.1622665737472,-10,0.179524677,"Hepta-silhouette-seed4"
4,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.367247994,"Hepta-silhouette-seed4"
1,"Lsun","dunnindex","True",3,0.439361969849105,0.117052395539751,1,0,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","ICOT_local",3,0.439361969849105,0.117052395539751,1,559.792808928,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","OCT",9,0.444720809256363,0.0279842579386083,-10,0.261251148,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","kmeans_plus",9,0.425077165152556,0.0669162739275375,-10,1.000872349,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","hclust",10,0.388729887157816,0.0705328095456078,-10,1.290604806,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","gmm",3,0.439361969849105,0.117052395539751,1,0.210527091,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","dbscan",0.4,0.439361969849105,0.117052395539751,-10,0.497197974,"Lsun-dunnindex-seed1"
2,"Lsun","dunnindex","True",3,0.439361969849105,0.117052395539751,1,0,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","ICOT_local",3,0.439361969849105,0.117052395539751,1,574.458753272,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","OCT",8,0.429725353709198,0.00617015555784949,-10,0.222132505,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","kmeans_plus",8,0.452649480451808,0.0586685421531035,-10,0.933571249,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","hclust",10,0.388729887157816,0.0705328095456078,-10,1.077292222,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","gmm",3,0.439361969849105,0.117052395539751,1,0.192391481,"Lsun-dunnindex-seed2"
2,"Lsun","dunnindex","dbscan",0.4,0.439361969849105,0.117052395539751,-10,0.487605581,"Lsun-dunnindex-seed2"
3,"Lsun","dunnindex","True",3,0.439361969849105,0.117052395539751,1,0,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","ICOT_local",3,0.439361969849105,0.117052395539751,1,627.433089371,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","OCT",9,0.443985157916992,0.0279842579386083,-10,0.279521828,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","kmeans_plus",9,0.424794440759653,0.0646572382804996,-10,0.956525097,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","hclust",10,0.388729887157816,0.0705328095456078,-10,1.116661719,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","gmm",3,0.439361969849105,0.117052395539751,1,0.232889249,"Lsun-dunnindex-seed3"
3,"Lsun","dunnindex","dbscan",0.4,0.439361969849105,0.117052395539751,-10,0.50968114,"Lsun-dunnindex-seed3"
4,"Lsun","dunnindex","True",3,0.439361969849105,0.117052395539751,1,0,"Lsun-dunnindex-seed4"
4,"Lsun","dunnindex","ICOT_local",3,0.439361969849105,0.117052395539751,1,594.17639893,"Lsun-dunnindex-seed4"
4,"Lsun","dunnindex","OCT",5,0.537822902867191,0.055973938452984,-10,0.105634145,"Lsun-dunnindex-seed4"
